epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.71767,1.69774,4.55752,1.33559,0.00052,0.07917,0.00029,0.00013,1.86694,3.93849,1.26779,3.334e-05,3.334e-05,3.334e-05
2,2.43217,1.80191,4.55064,1.35947,0.00078,0.11146,0.00048,0.00024,1.80782,3.87114,1.20668,8.29374e-05,8.29374e-05,8.29374e-05
3,3.18747,1.56786,4.27677,1.20444,0.00208,0.30938,0.00338,0.00175,1.78891,3.77522,1.12889,0.00013204,0.00013204,0.00013204
4,3.95653,1.68866,3.96328,1.13875,0.00213,0.325,0.0234,0.01646,2.07612,3.80354,1.18729,0.000180647,0.000180647,0.000180647
5,4.64433,1.98196,3.89691,1.16572,0.0023,0.35625,0.0399,0.02913,1.9026,3.78771,1.18037,0.000228759,0.000228759,0.000228759
6,5.32931,1.53783,3.53067,1.06831,0.00222,0.31875,0.04289,0.02302,1.74974,3.76662,1.15622,0.000276376,0.000276376,0.000276376
7,6.00232,1.69606,3.46188,1.13674,0.00385,0.52083,0.05668,0.03255,1.6183,3.70661,1.13525,0.000323498,0.000323498,0.000323498
8,6.62359,1.48731,3.00094,1.09018,0.00436,0.58542,0.07525,0.04882,1.58967,3.66547,1.12666,0.000370125,0.000370125,0.000370125
9,7.26366,1.72729,2.93726,1.15194,0.00425,0.56979,0.09118,0.06063,1.53756,3.54819,1.0909,0.000416257,0.000416257,0.000416257
10,7.89579,1.4684,2.66678,1.03666,0.00442,0.59375,0.0958,0.05685,1.49335,3.51747,1.06159,0.000461893,0.000461893,0.000461893
11,8.51993,1.47647,2.2844,1.06754,0.0044,0.58646,0.0605,0.02962,1.43678,3.48272,1.03508,0.000507035,0.000507035,0.000507035
12,9.11753,1.54355,2.56321,1.05251,0.00467,0.60521,0.03017,0.01595,1.47223,3.4973,1.0513,0.000551681,0.000551681,0.000551681
13,9.85387,1.6732,2.38601,1.14182,0.00481,0.63542,0.00727,0.00325,1.44157,3.49874,1.08424,0.000595832,0.000595832,0.000595832
14,10.4468,1.45446,2.14782,1.10634,0.00503,0.67396,0.0057,0.00272,1.52764,3.51828,1.12284,0.000639489,0.000639489,0.000639489
15,11.0744,1.51517,2.17418,1.10714,0.00563,0.74062,0.0325,0.02368,1.38783,3.47245,1.04771,0.00068265,0.00068265,0.00068265
16,11.6753,1.33993,2.01866,1.07042,0.00571,0.74896,0.0183,0.01137,1.45729,3.44809,1.06856,0.000725316,0.000725316,0.000725316
17,12.3026,1.38894,2.22404,1.02633,0.00515,0.68333,0.02943,0.01921,1.56413,3.44672,1.14102,0.000767487,0.000767487,0.000767487
18,12.9357,1.70768,2.42498,1.12593,0.00556,0.73229,0.05384,0.03778,1.39278,3.3556,1.06573,0.000809163,0.000809163,0.000809163
19,13.521,1.40985,1.96604,1.05562,0.00517,0.68333,0.06116,0.04734,1.30921,3.26225,1.04726,0.000850343,0.000850343,0.000850343
20,14.1547,1.46366,2.12539,1.11432,0.00574,0.74896,0.07051,0.03999,1.30133,3.18118,1.01678,0.000891029,0.000891029,0.000891029
21,14.7661,1.34551,1.97416,1.06607,0.0055,0.72396,0.08961,0.06102,1.2418,3.09534,1.00187,0.00093122,0.00093122,0.00093122
22,15.3641,1.47666,2.08511,1.09405,0.00584,0.77187,0.17451,0.11764,1.2405,3.02623,0.99706,0.000970915,0.000970915,0.000970915
23,15.9807,1.18996,1.86857,1.0344,0.38277,0.33854,0.28037,0.18999,1.25817,2.94353,1.01966,0.00101012,0.00101012,0.00101012
24,16.5833,1.32693,2.05264,1.04826,0.00559,0.73958,0.3134,0.21602,1.33137,2.88149,1.03981,0.00104882,0.00104882,0.00104882
25,17.1902,1.3404,1.84213,1.0995,1,0.09487,0.46152,0.30862,1.33456,2.7703,1.03475,0.00108703,0.00108703,0.00108703
26,17.816,1.1414,1.82951,0.99465,1,0.10047,0.60359,0.38951,1.36942,2.57621,1.05132,0.00112475,0.00112475,0.00112475
27,18.3997,1.4427,1.99534,1.14156,0.83619,0.14129,0.6423,0.40401,1.34004,2.4852,1.05819,0.00116197,0.00116197,0.00116197
28,18.9908,1.39533,1.80272,1.08505,0.90413,0.14955,0.60883,0.40688,1.27103,2.55897,1.0431,0.00119869,0.00119869,0.00119869
29,19.6235,1.33836,1.71082,1.06808,0.90413,0.14955,0.60883,0.40688,1.27103,2.55897,1.0431,0.00123492,0.00123492,0.00123492
30,20.2446,1.30848,1.72253,1.0111,0.84357,0.15647,0.61843,0.40512,1.27732,2.53896,1.02815,0.00127065,0.00127065,0.00127065
31,20.8525,1.35387,1.71802,1.08342,0.87355,0.18517,0.68353,0.44538,1.25449,2.43003,1.00441,0.00130589,0.00130589,0.00130589
32,21.4648,1.22036,1.55317,0.98553,0.81161,0.2535,0.66676,0.43235,1.24439,2.33853,1.01821,0.00134064,0.00134064,0.00134064
33,22.149,1.36978,1.59384,1.03746,0.81161,0.2535,0.66676,0.43235,1.24439,2.33853,1.01821,0.00137489,0.00137489,0.00137489
34,22.7787,1.2977,1.54034,0.98674,0.79625,0.31664,0.66906,0.43728,1.29471,2.22203,1.02423,0.0013947,0.0013947,0.0013947
35,23.3864,1.32472,1.62948,1.05304,0.83811,0.3277,0.70311,0.4536,1.36778,2.23758,1.03781,0.00138644,0.00138644,0.00138644
36,23.9564,1.41777,1.55037,1.03183,0.8981,0.42216,0.75333,0.48745,1.36971,2.09917,1.03838,0.00137819,0.00137819,0.00137819
