epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.488,1.28538,2.85721,1.06869,0.42823,0.08763,0.09195,0.05778,1.2205,3.83949,0.97116,0.000656863,0.000656863,0.000656863
2,33.2862,1.24265,1.72971,0.99258,0.55564,0.52759,0.49574,0.30622,1.30609,2.34686,1.05137,0.00127985,0.00127985,0.00127985
3,47.5411,1.19748,1.3749,1.00605,0.75697,0.66696,0.6993,0.40206,1.30193,1.45351,1.04105,0.00185884,0.00185884,0.00185884
4,61.6837,1.19375,1.1372,0.99346,0.90844,0.75276,0.84742,0.51157,1.21196,1.15678,0.99393,0.001802,0.001802,0.001802
5,75.7154,1.15737,0.96815,0.98144,0.87389,0.766,0.85325,0.49986,1.22178,0.92948,0.97003,0.001736,0.001736,0.001736
6,89.8065,1.10346,0.84816,0.9643,0.87591,0.81236,0.88102,0.5377,1.19353,0.81379,0.96862,0.00167,0.00167,0.00167
7,104.099,1.10813,0.80713,0.95025,0.75419,0.7351,0.73092,0.45814,1.16043,0.92886,0.94646,0.001604,0.001604,0.001604
8,118.39,1.04627,0.73719,0.94561,0.91586,0.81702,0.8869,0.57265,1.09313,0.73962,0.92098,0.001538,0.001538,0.001538
9,132.828,1.01765,0.71357,0.94384,0.90554,0.83444,0.89413,0.58519,1.07812,0.64335,0.91966,0.001472,0.001472,0.001472
10,146.999,1.02292,0.67518,0.92283,0.93428,0.82119,0.91613,0.61024,1.02596,0.63697,0.905,0.001406,0.001406,0.001406
11,161.405,1.00206,0.63886,0.92245,0.91433,0.83885,0.90133,0.58485,1.07634,0.6345,0.91803,0.00134,0.00134,0.00134
12,175.892,0.95114,0.60694,0.90953,0.93097,0.89317,0.94471,0.61977,1.03237,0.58878,0.89753,0.001274,0.001274,0.001274
13,190.715,0.94002,0.60192,0.90648,0.92568,0.86534,0.91468,0.60554,1.02284,0.58971,0.89317,0.001208,0.001208,0.001208
14,205.536,0.91775,0.57251,0.9115,0.92783,0.9082,0.9433,0.63263,0.98811,0.57138,0.88891,0.001142,0.001142,0.001142
15,220.121,0.91785,0.57062,0.89734,0.92879,0.89261,0.94152,0.63192,0.99566,0.56851,0.89105,0.001076,0.001076,0.001076
16,234.835,0.9029,0.54642,0.90257,0.90206,0.89459,0.9256,0.64038,0.96018,0.52832,0.87741,0.00101,0.00101,0.00101
17,249.046,0.88749,0.54706,0.90666,0.95312,0.84989,0.94299,0.63225,1.01603,0.54304,0.89755,0.000944,0.000944,0.000944
18,264.212,0.87371,0.52573,0.89223,0.91693,0.92591,0.95367,0.64339,0.96152,0.51274,0.87818,0.000878,0.000878,0.000878
19,278.89,0.86638,0.5341,0.89474,0.91411,0.90287,0.95017,0.65451,0.91845,0.48741,0.86977,0.000812,0.000812,0.000812
20,293.238,0.8454,0.50866,0.89095,0.94061,0.90728,0.95573,0.66253,0.92193,0.47964,0.868,0.000746,0.000746,0.000746
21,308.43,0.92505,0.52189,0.89782,0.94887,0.90136,0.9549,0.66594,0.91815,0.49466,0.86548,0.00068,0.00068,0.00068
22,322.754,0.9042,0.49972,0.88576,0.94175,0.8923,0.95384,0.66268,0.92961,0.49245,0.86607,0.000614,0.000614,0.000614
23,337.414,0.90812,0.5074,0.88992,0.92207,0.91418,0.95094,0.67834,0.90214,0.47739,0.86291,0.000548,0.000548,0.000548
24,351.659,0.87925,0.48974,0.88221,0.943,0.92053,0.95801,0.6749,0.91446,0.48111,0.86446,0.000482,0.000482,0.000482
25,366.507,0.86214,0.4766,0.88272,0.93906,0.9185,0.96079,0.69412,0.87808,0.46428,0.85296,0.000416,0.000416,0.000416
26,381.055,0.84652,0.4645,0.86871,0.93742,0.92593,0.96092,0.69394,0.86218,0.45452,0.84707,0.00035,0.00035,0.00035
27,395.242,0.84931,0.45911,0.86443,0.93821,0.9385,0.96025,0.69766,0.8572,0.44717,0.84699,0.000284,0.000284,0.000284
28,409.772,0.82512,0.45201,0.86242,0.93797,0.93471,0.96494,0.7049,0.85446,0.44133,0.84476,0.000218,0.000218,0.000218
29,423.933,0.81821,0.45294,0.85858,0.946,0.9426,0.96931,0.70242,0.84945,0.4479,0.84183,0.000152,0.000152,0.000152
30,438.867,0.80551,0.43839,0.85336,0.94572,0.94702,0.97224,0.70565,0.84644,0.44197,0.84122,8.6e-05,8.6e-05,8.6e-05
